Category,Module,Component/Table,Field/Action,Type,Description,Master,Senior,Mid,External,HR_Finance,Notes
Database,Authentication,users,id,View,"View user ID",✓,✓,Own Only,Own Only,✓,Master can view all users
Database,Authentication,users,name,View,"View user name",✓,✓,✓,✓,✓,Public within organization
Database,Authentication,users,name,Edit,"Edit user name",✓,✓,Own Only,Own Only,✓,Users can edit own name
Database,Authentication,users,email,View,"View user email",✓,✓,✓,✓,✓,Public within organization
Database,Authentication,users,email,Edit,"Edit user email",✓,✓,Own Only,Own Only,✓,Users can edit own email
Database,Authentication,users,role,View,"View user role",✓,✓,✓,✓,✓,Public within organization
Database,Authentication,users,role,Edit,"Edit user role",✓,✓,✗,✗,✗,Only Master and Senior can assign roles
Database,Client Management,clients,id,View,"View client ID",✓,✓,✓,✗,✓,External staff cannot view client data
Database,Client Management,clients,name,View,"View client name",✓,✓,✓,✗,✓,External staff cannot view client data
Database,Client Management,clients,name,Edit,"Edit client name",✓,✓,✗,✗,✗,Only Master and Senior can edit clients
Database,Client Management,clients,email,View,"View client email",✓,✓,✓,✗,✓,External staff cannot view client data
Database,Client Management,clients,email,Edit,"Edit client email",✓,✓,✗,✗,✗,Only Master and Senior can edit clients
Database,Client Management,clients,phone,View,"View client phone",✓,✓,✓,✗,✓,External staff cannot view client data
Database,Client Management,clients,phone,Edit,"Edit client phone",✓,✓,✗,✗,✗,Only Master and Senior can edit clients
Database,Client Management,clients,company,View,"View client company",✓,✓,✓,✗,✓,External staff cannot view client data
Database,Client Management,clients,company,Edit,"Edit client company",✓,✓,✗,✗,✗,Only Master and Senior can edit clients
Database,Client Management,clients,classification,View,"View client classification",✓,✓,✓,✗,✓,External staff cannot view client data
Database,Client Management,clients,classification,Edit,"Edit client classification",✓,✓,✗,✗,✗,Only Master and Senior can edit clients
Database,Client Management,clients,created_at,View,"View client creation date",✓,✓,✓,✗,✓,External staff cannot view client data
Database,Client Management,clients,updated_at,View,"View client update date",✓,✓,✓,✗,✓,External staff cannot view client data
Database,Project Management,projects,id,View,"View project ID",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,project_id,View,"View project identifier",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,project_id,Edit,"Edit project identifier",✓,✓,✗,✗,✗,Only Master and Senior can edit project ID
Database,Project Management,projects,client_id,View,"View project client ID",✓,✓,✓,✗,✓,External staff cannot view client associations
Database,Project Management,projects,client_id,Edit,"Edit project client",✓,✓,✗,✗,✗,Only Master and Senior can change client
Database,Project Management,projects,event_location,View,"View event location",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,event_location,Edit,"Edit event location",✓,✓,✗,✗,✗,Only Master and Senior can edit location
Database,Project Management,projects,event_start_date,View,"View event start date",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,event_start_date,Edit,"Edit event start date",✓,✓,✗,✗,✗,Only Master and Senior can edit dates
Database,Project Management,projects,event_end_date,View,"View event end date",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,event_end_date,Edit,"Edit event end date",✓,✓,✗,✗,✗,Only Master and Senior can edit dates
Database,Project Management,projects,expected_attendance,View,"View expected attendance",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,expected_attendance,Edit,"Edit expected attendance",✓,✓,✗,✗,✗,Only Master and Senior can edit attendance
Database,Project Management,projects,classification,View,"View project classification",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,classification,Edit,"Edit project classification",✓,✓,✗,✗,✗,Only Master and Senior can edit classification
Database,Project Management,projects,current_phase,View,"View current project phase",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,current_phase,Edit,"Edit current project phase",✓,✓,✗,✗,✗,Only Master and Senior can change phases
Database,Project Management,projects,phase_progress,View,"View phase progress",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,phase_progress,Edit,"Edit phase progress",✓,✓,✓,✗,✗,Mid level can update progress on assigned projects
Database,Project Management,projects,status,View,"View project status",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,status,Edit,"Edit project status",✓,✓,✗,✗,✗,Only Master and Senior can change status
Database,Project Management,projects,delivery_address,View,"View delivery address",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,delivery_address,Edit,"Edit delivery address",✓,✓,✗,✗,✗,Only Master and Senior can edit delivery info
Database,Project Management,projects,delivery_contact_name,View,"View delivery contact name",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,delivery_contact_name,Edit,"Edit delivery contact name",✓,✓,✗,✗,✗,Only Master and Senior can edit delivery info
Database,Project Management,projects,delivery_contact_phone,View,"View delivery contact phone",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,delivery_contact_phone,Edit,"Edit delivery contact phone",✓,✓,✗,✗,✗,Only Master and Senior can edit delivery info
Database,Project Management,projects,delivery_contact_email,View,"View delivery contact email",✓,✓,✓,Assigned Only,✓,External staff only see assigned projects
Database,Project Management,projects,delivery_contact_email,Edit,"Edit delivery contact email",✓,✓,✗,✗,✗,Only Master and Senior can edit delivery info
Database,Sales Pipeline,opportunities,id,View,"View opportunity ID",✓,✓,✓,✗,✓,External staff cannot access sales data
Database,Sales Pipeline,opportunities,company_name,View,"View opportunity company",✓,✓,✓,✗,✓,External staff cannot access sales data
Database,Sales Pipeline,opportunities,company_name,Edit,"Edit opportunity company",✓,✓,✗,✗,✗,Only Master and Senior can edit opportunities
Database,Sales Pipeline,opportunities,event_name,View,"View opportunity event name",✓,✓,✓,✗,✓,External staff cannot access sales data
Database,Sales Pipeline,opportunities,event_name,Edit,"Edit opportunity event name",✓,✓,✗,✗,✗,Only Master and Senior can edit opportunities
Database,Sales Pipeline,opportunities,deal_value,View,"View deal value",✓,✓,✗,✗,✓,Financial data restricted to Master/Senior/HR
Database,Sales Pipeline,opportunities,deal_value,Edit,"Edit deal value",✓,✓,✗,✗,✗,Only Master and Senior can edit financial data
Database,Sales Pipeline,opportunities,currency,View,"View deal currency",✓,✓,✗,✗,✓,Financial data restricted to Master/Senior/HR
Database,Sales Pipeline,opportunities,currency,Edit,"Edit deal currency",✓,✓,✗,✗,✗,Only Master and Senior can edit financial data
Database,Sales Pipeline,opportunities,stage,View,"View opportunity stage",✓,✓,✓,✗,✓,External staff cannot access sales data
Database,Sales Pipeline,opportunities,stage,Edit,"Edit opportunity stage",✓,✓,✗,✗,✗,Only Master and Senior can move stages
Database,Sales Pipeline,opportunities,lead_score,View,"View lead score",✓,✓,✓,✗,✓,External staff cannot access sales data
Database,Sales Pipeline,opportunities,lead_score,Edit,"Edit lead score",✓,✓,✗,✗,✗,Only Master and Senior can edit scores
Database,Sales Pipeline,opportunities,temperature,View,"View opportunity temperature",✓,✓,✓,✗,✓,External staff cannot access sales data
Database,Sales Pipeline,opportunities,temperature,Edit,"Edit opportunity temperature",✓,✓,✗,✗,✗,Only Master and Senior can edit temperature
Database,Sales Pipeline,opportunities,client_tier,View,"View client tier",✓,✓,✓,✗,✓,External staff cannot access sales data
Database,Sales Pipeline,opportunities,client_tier,Edit,"Edit client tier",✓,✓,✗,✗,✗,Only Master and Senior can edit tiers
Database,Sales Pipeline,opportunities,owner_id,View,"View opportunity owner",✓,✓,✓,✗,✓,External staff cannot access sales data
Database,Sales Pipeline,opportunities,owner_id,Edit,"Edit opportunity owner",✓,✓,✗,✗,✗,Only Master and Senior can reassign opportunities
Database,Sales Pipeline,opportunities,win_probability,View,"View win probability",✓,✓,✓,✗,✓,External staff cannot access sales data
Database,Sales Pipeline,opportunities,win_probability,Edit,"Edit win probability",✓,✓,✗,✗,✗,Only Master and Senior can edit probability
Database,ROI Analysis,roi_calculations,id,View,"View ROI calculation ID",✓,✓,✗,✗,✓,Financial data restricted
Database,ROI Analysis,roi_calculations,total_revenue_estimate,View,"View revenue estimates",✓,✓,✗,✗,✓,Financial data restricted to Master/Senior/HR
Database,ROI Analysis,roi_calculations,total_revenue_estimate,Edit,"Edit revenue estimates",✓,✓,✗,✗,✗,Only Master and Senior can edit financial projections
Database,ROI Analysis,roi_calculations,total_costs_estimate,View,"View cost estimates",✓,✓,✗,✗,✓,Financial data restricted to Master/Senior/HR
